,회사명,공고명,경력,학력,계약유형,지역,채용기간
53,플레이키키,자바개발자를 모십니다. - 주 1회 출근 -,경력3년↑,학력무관,정규직 외,서울 강남구,D-22
54,혁산정보시스템,JAVA 개발 및 유지보수 경력직 채용,경력3년↑,초대졸↑,정규직,서울 영등포구 외,D-22
55,㈜데이터플로,Java 백엔드 프로그래밍,경력무관,학력무관,정규직 외,서울 강남구,D-22
56,㈜진커뮤니케이션,"[JAVA, React]시스템 운영 및 개발",경력5년↑,학력무관,정규직,서울 금천구,D-2
57,㈜오픈에스티,서초동 공공기관 자바 포탈 개발자 구함,경력7년↑,초대졸↑,정규직 외,서울 금천구 외,D-21
58,메가소프트㈜,Java-SCM 차세대- 설계 및 개발 프리 (중급상 이상  ),경력8년↑,초대졸↑,프리랜서,서울 강남구,D-18
59,㈜슈가브릭스,[분당 야탑][경력] 자바 개발자를 모십니다.,경력6년↑,초대졸↑,프리랜서,경기 성남시,D-18
60,JMP코리아,"[JAVA개발/인천(서구)/10월투입] JAVA, 웹스퀘어, 데이터이행 프리랜서 채용",경력5년↑,학력무관,프리랜서,인천 서구 외,D-33
61,㈜글로벌인,[일본취업 연계] 일본 IT 자바 웹개발자 전액국비지원 연수생 모집,경력무관,고졸↑,연수생/교육생,서울 영등포구 외,D-16
62,이젠컴퓨터학원,"(EZEN) 일산캠퍼스 -  풀스택 JAVA,파이썬. 강사님 모십니다",경력무관,학력무관,정규직,경기 고양시,D-16
63,디더블유아카데미학원,"풀스택 교사 채용(Front-end,자바, 스프링, 데이터베이스)",경력1년↑,대졸↑,정규직 외,대전 중구,D-16
64,㈜비인텍,[세종/경력직] 정규직JAVA 개발자 채용,경력3년↑,초대졸↑,정규직,세종 전지역,D-9
65,㈜지호아이앤씨,자바 개발 /시스템 유지보수,경력10년↑,초대졸↑,정규직,서울 중구,D-15
66,㈜베스티아소프트,10444. JAVA 금융권개발 및 운영 - SI-SM,경력무관,학력무관,정규직 외,인천 연수구,D-15
67,더휴먼컴퓨터아트아카데미,자바(JAVA) 훈련교강사 채용합니다.,신입·경력1년↑,초대졸↑,계약직 외,경기 수원시,D-25
68,나우정보시스템,구미자바개발자-24년 09월,경력5년↑,학력무관,계약직 외,경북 구미시,D-44
69,더조은컴퓨터학원,"[더조은컴퓨터 구로] 자바, 파이썬, 플러터, SQLD자격증 강사 채용",경력무관,학력무관,계약직,서울 구로구,D-41
70,㈜성우정보,자바/vue.js 고급 인력 구합니다,경력9년↑,학력무관,프리랜서,서울 강남구,D-11
71,㈜모블,"백엔드, Node.JS, 스프링, 자바 프로그래밍 강의 전문강사 채용",경력무관,초대졸↑,계약직,충남 천안시,D-11
72,㈜글로벌인,[일본취업 연계] 일본 IT 자바 웹개발자 연수생 모집 (전액국비지원),경력무관,고졸↑,연수생/교육생,서울 영등포구 외,D-10
73,㈜대우능력개발교육원,자바 기반 웹개발자 보안코딩 시간제 강사 지원,경력,초대졸↑,계약직 외,서울 중랑구,D-10
74,㈜베스티아소프트,"10443. JAVA, React.js 시스템운영 및 개발 -SI / SM",경력무관,학력무관,정규직 외,인천 연수구,D-10
75,나야넷,자바(Java) 웹 개발자 경력 채용,경력4년↑,학력무관,정규직,서울 금천구,D-39
76,인천 그린컴퓨터아카데미,"웹디자인(HTML,CSS,자바스크립트,피그마) 저녁반/주말반 선생님 모십니다.",경력무관,초대졸↑,프리랜서,인천 부평구,D-9
